Date,gdp.log,real.rate,interest,inflation,inflation.expectations
01.01.1960,8.094304266,2.053816451,4.138681689,1.252985625,2.084865237
01.04.1960,8.088895799,2.082057206,4.016937341,1.524707904,1.934880135
01.07.1960,8.093776616,1.670169776,3.328012176,1.552903082,1.6578424
01.10.1960,8.080859204,1.677234422,3.088267304,1.313534918,1.411032882
01.01.1961,8.087586814,1.820587662,3.088267304,0.679572664,1.267679642
01.04.1961,8.104419138,1.87236618,3.088267304,1.317593834,1.215901125
01.07.1961,8.123433606,1.827685423,3.088267304,1.731626108,1.260581881
01.10.1961,8.142854879,1.913493325,3.088267304,0.97030331,1.174773979
01.01.1962,8.160533676,1.715713609,3.088267304,1.47069153,1.372553695
01.04.1962,8.169529807,1.661258136,3.088267304,1.535415724,1.427009168
01.07.1962,8.181740035,1.766857537,3.088267304,1.309228504,1.321409767
01.10.1962,8.185023247,1.821578163,3.088267304,0.751420806,1.266689141
01.01.1963,8.195880151,1.857154211,3.088267304,1.328387339,1.231113093
01.04.1963,8.207038899,1.864024331,3.088267304,1.507935243,1.224242973
01.07.1963,8.228784989,2.240630604,3.520162721,1.530385081,1.279532117
01.10.1963,8.235319551,2.037683399,3.612147021,1.931146824,1.574463622
01.01.1964,8.25618317,1.94918364,3.612147021,1.682386376,1.662963381
01.04.1964,8.267011379,2.025066304,3.612147021,1.204404587,1.587080717
01.07.1964,8.282513605,2.132973001,3.612147021,1.098758295,1.479174021
01.10.1964,8.285597773,2.580468525,3.830450279,1.014377758,1.249981754
01.01.1965,8.309507302,2.905494734,4.110298054,1.501672637,1.204803319
01.04.1965,8.322060886,3.001617821,4.219923523,1.258414114,1.218305701
01.07.1965,8.344050024,2.967141318,4.216858146,1.224402801,1.249716828
01.10.1965,8.366829034,2.984694816,4.315551868,1.338938651,1.330857051
01.01.1966,8.390879801,3.27396714,4.726496468,1.988361743,1.452529327
01.04.1966,8.394290146,3.161171409,5.107227381,3.232520692,1.946055972
01.07.1966,8.402723535,3.177246083,5.638042327,3.283363887,2.460796243
01.10.1966,8.410893791,2.810269151,5.799963685,3.454531815,2.989694534
01.01.1967,8.419710674,1.96267275,5.005260842,2.199935974,3.042588092
01.04.1967,8.420323196,1.225959469,4.127544877,2.668509957,2.901585408
01.07.1967,8.429740044,1.04308468,4.02502276,3.604774572,2.98193808
01.10.1967,8.437251962,1.196935497,4.322334018,4.028373582,3.125398521
01.01.1968,8.457441701,1.267380408,4.974296283,4.526005386,3.706915874
01.04.1968,8.474011749,2.054595874,6.251634171,4.628999648,4.197038297
01.07.1968,8.481731596,1.808403784,6.212521412,4.433091896,4.404117628
01.10.1968,8.485656909,1.626330341,6.183033301,4.638714908,4.55670296
01.01.1969,8.501186769,2.367609352,6.882294314,4.357933393,4.514684961
01.04.1969,8.504222231,4.265499125,8.812021099,4.756347698,4.546521974
01.07.1969,8.510805634,4.950231553,9.532518676,4.576152495,4.582287124
01.10.1969,8.505916852,4.896465908,9.487514055,4.673759002,4.591048147
01.01.1970,8.504430899,4.476998685,9.065269495,4.346824046,4.58827081
01.04.1970,8.50584909,3.794197616,8.317049627,4.494672497,4.52285201
01.07.1970,8.515022637,2.557201718,7.036912763,4.403588636,4.479711045
01.10.1970,8.504248368,1.094755051,5.805443048,5.597666809,4.710687997
01.01.1971,8.531045997,-0.890253521,3.992272112,5.03417459,4.882525633
