Date,rstar,g,z,output gap,,All results are output from the Stage 3 model.,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap
1961-01-01,5.24790297523829,5.23252969164591,0.0153732835923788,-4.08380807783931,,Parameter Point Estimates,,,,,,,,,,,,,,,-3.42731531323829
1961-04-01,5.67046141438198,5.63909079602722,0.0313706183547676,-4.0904676662708,,a_1,a_2,a_3,b_1,b_2,sigma_1,sigma_2,sigma_4,a_1 + a_2,,,,,,,-3.79809523538198
1961-07-01,5.56996972885514,5.53488331646565,0.0350864123894846,-3.41659175972779,,1.53991112650776,-0.598555728099496,-0.0678696420086334,0.670838032136929,0.0785926483326657,0.333786945481661,0.786202846786426,0.573909668853571,0.941355398408268,,,,,,,-3.74228430585514
1961-10-01,5.43472479466897,5.40736409407746,0.0273607005915022,-2.68373509443882,,,,,,,,,,,,,,,,,-3.52123146966897
1962-01-01,5.14951016570499,5.12314221885435,0.0263679468506333,-1.7099358924105,,,,,,,,,,,,,,,,,-3.43379655670499
1962-04-01,4.54612428524725,4.53915208129858,0.00697220394867603,-0.885666556193996,,,,,,,,,,,,,,,,,-2.88486614924726
1962-07-01,4.3653579385427,4.36852428202709,-0.0031663434843865,-0.424146519540272,,,,,,,,,,,,,,,,,-2.5985004015427
1962-10-01,3.89382304737013,3.93234107179791,-0.0385180244277753,-0.158531662786686,,,,,,,,,,,,,,,,,-2.07224488437013
1963-01-01,3.85918852354711,3.88976681263436,-0.0305782890872533,0.10119368567257,,,,,,,,,,,,,,,,,-2.00203431254711
1963-04-01,3.83057084953011,3.85639693111589,-0.0258260815857824,0.367902034062126,,,,,,,,,,,,,,,,,-1.96654651853011
1963-07-01,4.13448510998269,4.13728964416846,-0.00280453418577114,0.722325532630066,,,,,,,,,,,,,,,,,-1.89385450598269
1963-10-01,3.90710753804014,3.90906258748902,-0.0019550494488859,1.15036475512659,,,,,,,,,,,,,,,,,-1.86942413904013
1964-01-01,4.16726489838047,4.15738801392892,0.00987688445155133,1.37978653469577,,,,,,,,,,,,,,,,,-2.21808125838047
