rstar,g,z,output gap
01.01.1961,4.23258035909997,4.19324283543965,0.0393375236603179,-3.2256624281149
01.04.1961,4.22756361091858,4.18984912468688,0.0377144862317054,-2.99647838424505
01.07.1961,4.21291523487279,4.18013822006151,0.0327770148112849,-2.39680198356029
01.10.1961,4.19309572487584,4.16674126077507,0.0263544641007728,-1.7025453043002
01.01.1962,4.1718071327736,4.15127666682878,0.0205304659448246,-1.13008440799933
01.04.1962,4.15390094485087,4.13573010884766,0.0181708360032121,-0.836881842823459
01.07.1962,4.14755568668001,4.12730275713989,0.0202529295401211,-0.650810083892225
01.10.1962,4.14838827291654,4.12123879818954,0.027149474726997,-0.651514886654809
01.01.1963,4.16277070859193,4.12505209476518,0.0377186138267492,-0.53550139122251
01.04.1963,4.17949485327971,4.13011587922541,0.0493789740542972,-0.312462149001135
01.07.1963,4.19701041665077,4.1365126968298,0.0604977198209613,0.0920198956044942
01.10.1963,4.20735860406793,4.1348891911963,0.0724694128716259,0.287648324514407
01.01.1964,4.22532474987232,4.14020974941629,0.0851150004560369,0.642908571805265
01.04.1964,4.23532654351482,4.13755085728719,0.0977756862276244,0.853974584001662
01.07.1964,4.24900710378233,4.13736099700516,0.111646106777169,1.06804295276322
01.10.1964,4.26104747710393,4.13431424291931,0.126733234184622,1.16477914910877
01.01.1965,4.27924423472947,4.13960939865017,0.1396348360793,1.63721380985942
01.04.1965,4.28039726704018,4.13246889799773,0.147928369042453,2.07402092761151
01.07.1965,4.27645522945981,4.12527699772546,0.151178231734346,2.70388341832518
01.10.1965,4.25586749727117,4.10843069657369,0.14743680069748,3.36583914218113
01.01.1966,4.22057887711806,4.08218545081794,0.138393426300119,3.86762883710367
01.04.1966,4.17483193737021,4.04570153593662,0.129130401433587,3.82015615430134
01.07.1966,4.13866518279635,4.01717443511323,0.121490747683127,3.64927608496816
01.10.1966,4.10187490989143,3.98836394304262,0.113510966848814,3.41651867897997
01.01.1967,4.06420740481958,3.95885815670238,0.1053492481172,3.15147380675182
