rstar,g,z,output gap
01.01.1961,4.22577156256331,4.19852808703049,0.0272434755328163,-3.21879001048251
01.04.1961,4.22052461902911,4.19530785415371,0.0252167648753997,-2.98873395666351
01.07.1961,4.20667747979631,4.18583427959369,0.020843200202625,-2.3875940893804
01.10.1961,4.18817078655013,4.17273621932135,0.0154345672287789,-1.69242944177245
01.01.1962,4.16807455671808,4.15760491768843,0.010469639029653,-1.12195459776638
01.04.1962,4.1503263360386,4.14235586370377,0.00797047233482788,-0.835778745312723
01.07.1962,4.14272460655732,4.13411119289289,0.00861341366443094,-0.658295964633453
01.10.1962,4.14073442415494,4.12808469579236,0.0126497283625824,-0.670394933040029
01.01.1963,4.1510357990425,4.13176869771361,0.0192671013288905,-0.563145279044875
01.04.1963,4.16324580315689,4.13660090574263,0.0266448974142583,-0.346680068607043
01.07.1963,4.17635667956618,4.14271634250498,0.0336403370611968,0.0547194407529332
01.10.1963,4.18204314866582,4.14079194604653,0.0412512026192877,0.243764995308425
01.01.1964,4.19510272822816,4.14575268082183,0.0493500474063325,0.596173076273658
01.04.1964,4.20018799562441,4.1427216287042,0.0574663669202116,0.802122623490618
01.07.1964,4.20854501676483,4.1421034066901,0.0664416100747357,1.01164803089523
01.10.1964,4.21484785752585,4.13857319822666,0.0762746592991913,1.10215591524207
01.01.1965,4.22790749417393,4.14334938827925,0.0845581058946787,1.57612713034678
01.04.1965,4.22536768731879,4.13577854429381,0.0895891430249814,2.01501036261539
01.07.1965,4.21933299684063,4.12826254344404,0.0910704533965934,2.65174303571496
01.10.1965,4.19890828561213,4.11127914149961,0.0876291441125182,3.32196218247827
01.01.1966,4.16554865345874,4.08508291277835,0.0804657406803882,3.82951245561469
01.04.1966,4.12191118150652,4.04874101650484,0.0731701650016799,3.77812455041737
01.07.1966,4.08732513804302,4.02030104969798,0.067024088345037,3.60196139011873
01.10.1966,4.05213442970726,3.99151663273739,0.0606177969698661,3.36365542136673
01.01.1967,4.01601842897921,3.96196457449676,0.0540538544824509,3.09347166557177
01.04.1967,3.97930767945068,3.9310728623549,0.0482348170957839,2.73524370116036
01.07.1967,3.94925085712837,3.90672227923759,0.0425285778907798,2.61727105096134
01.10.1967,3.91603465322408,3.88052028458894,0.0355143686351434,2.67993659892693
01.01.1968,3.88154532705367,3.85571441629768,0.0258309107559876,3.05884566186717
01.04.1968,3.83481060219011,3.82132201069683,0.0134885914932878,3.38212292388926
01.07.1968,3.78358803030449,3.78252818267539,0.00105984762910044,3.43345218073182
01.10.1968,3.73641030842202,3.74691207867478,-0.0105017702527623,3.3348808743018
01.01.1969,3.6932895368663,3.71597897410761,-0.0226894372413101,3.3572080114418
01.04.1969,3.6434464646572,3.67821593812559,-0.0347694734683834,3.12074176573662
01.07.1969,3.60071133584318,3.64592958524239,-0.0452182493992139,2.72193491165478
01.10.1969,3.56028387156876,3.61359294341894,-0.0533090718501835,1.97538452097547
01.01.1970,3.53135518870065,3.5903318723261,-0.0589766836254508,1.21399847242753
01.04.1970,3.50703924669289,3.57088662326596,-0.0638473765730692,0.582191130579531
01.07.1970,3.48417613426868,3.55284309694411,-0.0686669626754339,0.138127325711821
01.10.1970,3.45865667009979,3.53049965092976,-0.0718429808299736,-0.389079160174902
01.01.1971,3.44807390822509,3.52398462593095,-0.0759107177058582,-0.165703844333848
01.04.1971,3.4175635568228,3.49863852446683,-0.0810749676440346,-0.037503719966935
01.07.1971,3.39632084418782,3.48021790575966,-0.0838970615718478,0.178170628480871
01.10.1971,3.38020313052565,3.46569479469644,-0.0854916641707985,0.431725282867546
01.01.1972,3.37113537774881,3.46005814965327,-0.0889227719044611,1.06900860536859
01.04.1972,3.35099371541722,3.44773420491076,-0.0967404894935421,1.91085262204194
01.07.1972,3.31981308814033,3.42723681004931,-0.107423721908976,2.59642321149033
01.10.1972,3.29000484699151,3.41139482943711,-0.121389982445606,3.36481392098733
01.01.1973,3.25065373167833,3.39139727728212,-0.140743545603796,4.14553905084369
01.04.1973,3.19693766858214,3.35999785551782,-0.163060186935682,4.39068911979666
01.07.1973,3.14469420402592,3.32921459080597,-0.184520386780052,4.03892469576533
01.10.1973,3.10390549223164,3.30995115404775,-0.206045661816105,3.55450972866629
01.01.1974,3.05706025947926,3.28412895823713,-0.227068698757869,2.5741692457641
01.04.1974,3.02203700285173,3.2679114378803,-0.245874435028569,1.5923816946156
01.07.1974,2.98808413900416,3.24939514558036,-0.261311006576206,0.371309790933992
01.10.1974,2.96811689736474,3.24025486253231,-0.272137965167571,-0.817338501747031
01.01.1975,2.95555804886481,3.23420302141133,-0.278644972546523,-1.83987674852608
01.04.1975,2.95799043491731,3.24113192071544,-0.283141485798125,-2.00551318692419
01.07.1975,2.95785325934476,3.24655592681965,-0.288702667474894,-1.48383103522849
